,positive,neutral,negative
42,Normal slippers. at 42 Chinese 8.5 all exactly.,"Ordered in Russia to Moscow, it came quickly enough for 3-4 days, for Logistics Plus. On the battery itself, the color and characteristics are the ones that you wanted. I did not like that inside the plastic packaging was broken, splashed this time, on the body itself there is a button on the turn-on it, making noticeable sounds, two of. The third thing that did not like this assembly of the case, when you press the middle of the case it feels that it is bent, you can press a stronger hole;(. On work there are two connectors for 1A and 2A work both, in principle charges, strongly did not check but satisfied. Three stars for the speed of delivery and operation of the device, two stars for the build quality of the case",Do not recommend this seller. Sliders not have reached.
43,Sneakers are very good. Got there quickly.,"for french people, d'ont buy with this seller !!","I haven't received it, but my money it back"
44,Very well made and comfortable. Quick delivery.,Very late the arrival of the order. A lot of wait ...,Close two three times and it breaks
45,Excellent. The quality is good. The size is suitable.,The goods went for a long time. The battery did not come to the phone,Very small look like toy
46,Corresponds to the description I recommend,"The goods did not come, opened a dispute, the money was returned.",I still have not received my parcel
47,"Good product and good quality, perfect size.",Very long walking,Color yellow and not gold.
48,Normal slaps.,The goods have not come,Not received
49,Item as described.,I went for a long time and without tracking,Very disappointed too small
50,Good product. Flip flops comfortable,"for a long time
",Received 7 instead of 10
51,"Everything is ok, thank you","Came the goods in 3 months, scratches on the case","The order did not arrive, it was returned to the seller without refund"
52,Very nice,These are cute but they're HUGE.  I ordered 4T-6T and these will probably fit 6T or larger.  We'll keep them for the future but we can't use them right now with our 4T size daughter.,Not received
53,Perfect,"Very nice, I recommend everything right and as in the picture",Too much black
54,Excellent))),its good,The goods came late and the box was badly forked
55,All OK,They are different from what we have received.,Did not track for a long time
56,At 43 the size approached 44,Not what I ordered,The goods are fastened defective!
57,Leg 42 size took 45 came up perfectly,Very good,"The charge does not hold for a long time and does not charge completely, no matter how much it is charged"
58,100%,Problem with the size received but the seller was at the top.,"In short, I waited a long time but he never came"
59,very good thx,There was a panties of a smaller size su8r the 4 received but the seller was at the top.,"Capacity 5000 of power, goods not dovolnn"
60,Fits well. Fast delivery.,gorgeous,"❌❌❌❌❌
Too long for delivery, the seller changed the shipping method for won not even a euro. Two and a half months for arrival.
-Take time to charge the large batteries of 5000 mAh. On the other hand works well for the other batteries.
-Zero Communication with this seller, I do not recommend❌❌❌"
61,Great product. I recommand,Malesaf bikackklae going bikackere they don't go,I ordered two. One of the batteries ballooned during first charge. It may explode or catch fire. I must stop using it. Unfortunately I missed the dispute period couple of days
62,Fall very small,Here comes the crumpled. Badly packed for transportation. Got the money back.,"The order did not reach me, did not track, but to the place to honestly send my order or contact me, the seller was waiting for the delivery time to be extended. I never waited. Opened a dispute, but the seller did not even want to refund, referring to the fact that the order was with me. In the end, Ali's service was connected. Well, at least we got the money back. In general, I do not recommend this store and this seller, the Naglo lies about the parcel and does not return money, even if the parcel did not come."
63,It came very fast.,"Good product but packaging is very poor, the protector came smashed and when installed on the screen its full with bubles...not happy, the packaging is the problem",I did not receive the goods! Where's the money??
64,ok,"Stylus on the film does not slip at all, it is not convenient to use, immediately removed the film. We need to try matte.","Goods didn't come
Waiting for refund"
65,Fast shipping top quality!,Warm. I bought it cheaply and change it often.,"It took 3 months to arrive. no communication with the seller, responds generic and meaningless things. I tried to cancel the order any more I do it by mistake and denied the cancellation more than 10 times! I send it without me and I would like answered by chat things that had nothing to do with what I asked. a scam and a waste store."
66,"Very satisfied, good product","Very small, the seller's photo does not convey the real dimensions.","Did the parcel receive the parcel was badly worn out by the goods, the non-working do not know by whose fault of mail or producer? Money's back!"
67,very good,Only for the tablet thought as for the tablet and phone suitable,"Never received the battery. I haven’t been refund either. It’s a total scam, don’t buy from them!! "
68,"very good product, thank you",To test,Arrived late and load capacity is not indicated
69,Slippers are very good.,"It's smaller than it looks, according to me I ordered for tablet, but it's the size of a cell phone. Either way you can find him useful.",Product not received and dispute sloppy by Aliexpress. I do not recommend at all.
70,7.5 us is 41 in eu but it's really 40 in eu,the product is much more smaller than in the picture.,Waiting 3 months to receive the charger and in a week no longer charge
71,Excellent. Size fits.,"Very expensive, for such quality, would know, would not order","Broke after 3 weeks, used three times. I do not advise ((((("
72,Great product. !,The tablet does not hold on the very bad item or manufacturing defect,did not come. although tracking shows that delivered
73,"The order was almost 2 months, perhaps because of Ng holidays. The track did not fall off, left in the mailbox. With a coupon 30 stickers got for 50 rubles)) very satisfied!","The base loose easily, it may cause the IPED will fall",After claiming item I don't arrive and the seller doesn't reimburse anything
74,"All right, a pack of 10 varied.",He is not so strong. Holder drops down as tablet is in there. Further called as the picture!,The goods did not put in the parcel at all.
75,All 50 stickers there and in excellent quality. Thank you very much. Highly recommend this seller and product. Took about 3 months for them to arrive in southern Africa.,"Item arrived damaged (broken). Product packaging is inappropriate, you should try to pack better before sending. THANK YOU.","Disgusting seller! I 've never met anyone like that... All the terms have passed, waited more than 2 months, opened the dispute asked to return the money! Seller kindly refused to do refund or send new item with tracking number! Constantly asked to cancel the dispute ..... How much nerves have been spent (((thank you arbitration AliExpress that got up on my side and returned the money! I do not advise anyone of this seller! Cheaters"
76,"Very happy because the stickers are beautiful, I will definitely keep buying in this shop, they are very big and original, the waiting time was very short, I recommend this shop, very satisfactory, very good price, good to communication with seller, good quality and great stickers, Thank you very much, 10/10 highly recommended.","I never got the product, but they made me return the product.",Never arrived and the owner wasn’t responsible at all for the items even tho it haven’t arrived.
77,"Good quality, they come very varied. No sticker is repeated, there is a combination of pictures with drawings. Very good shopping",The head where the tablet is hooked is released.,"I do not know about the description, the goods did not come at all! The money was returned..."
78,"Super fast shipment, nice graphics, quantity in the packaging agrees :) * two stickers (photo) made me laugh. I recommend!","Fast delivery, but bad holds not convenient",The quality of the goods has not yet checked. But the delivery was more than 2 months. And this fact blocks all the pluses of the goods. Shop do not recommend
79,"Fast delivery, product as described, would bye again",cheap and cheerful. quick delivery,Goods spoilt seller don't refund money
80,"excellent, exactly what I was expecting to receive.
accurate description, great product and very good quality. thanks seller.",does not hook too well the support,It didn't come and I didn't make the confirmation... This is cheating. Don't contact this store. These are scams
81,CAME IN. and are really funnY!,", Don't hold on.","Very not happy. The seller is rude, not only that the goods came damaged, and the money was not returned. The goods itself went for a long time. And it was very problematic to pick up the product. I had to go 30 km to the nearest point of issue IML. A lot of scratches. The product does not work and LED lamps too. I don't advise you."
82,Super arrives before the scheduled date!!!,Too small,"Waited 3 months the goods did not come. opened a dispute demanded a refund. the seller tried to deceive saying wait 20 more days (after 15 days without opening a dispute, the money is Goes"
83,"Good. .. (Except there was not the rest of the group, I had that Ross and the drawings of the characters are scared hihihi in short fortunately there are pictures of the group and Ross but hey I kiff anyway",perfect,Does not work
84,"Stickers to Minsk got quite quickly, came in a dense bag, but it was too small, so a couple of stickers were crumpled. The pictures themselves do not repeat, only some inscriptions are repeated, but personally it is not to me in principle. Stickers are matte, pleasant to the touch. I think the fans of the series will appreciate.",Good but without more,The seller did not send product
85,Did include one “fronds” sticker but other than that all perfect!,Refund,Article never received really very disappointed
86,In my bed I do not even have the simple logo of Friends. I'm disappointed.,Low quality,"Long walked, charges the phone badly"
87,"Cool stickers. Not all, but most great :) General recommended!",Bad quality!,The broken pakete yego
88,"Are very small, but cool",Not come,I never get there
89,Perfect! I love it. No repeated stickers,Long,Broke in a month!
90,They look perfect,"Confirmation difficult, pitched whine barely audible, am not satisfied",VERY LONG DELIVERY
91,"Good quality, fast shipping.","The product came took more than 15 days to come, I did not notice a lot of changes in the noise of my car I would even say that it has nothing to change",Item not recieved
92,Loved the stickers,I thought it would sound bigger than that.,"Panties are good, but the seller mixed up the size, ordered M, and sent L. The child is 3,5, and this is from 6 years old. Very huge, waited a month for delivery in vain."
93,Great,Only buy for joke the sound is funny XD,Not the very good quality
94,top top top!,Well,I got a different model from the one I asked for.
95,Fixes!,"I, I have not got it to sound.","I asked my boxers and panties come that is not done. if you have not returned the money, not submit a q thing I have not asked."
96,perfect,Normal whistle))),"This is not what I ordered, zero..."
97,Very goood.,Normal whistle,"Arrived model different than zamawiany, to this dirty. No contact with the seller."
98,perfect!!,Yes satisfied very good,"Waited for the goods for 3 months, it was not sent out, opened the dispute, returned the money. I do not recommend the seller."
99,Exactly as in the picture and very fast delivery!,...,I never received my order
100,"they are nice and easy to take off picture, looks exactly like i thought they would and are perfect. came in the estimated time ",Cheap not terrible,"never get the item
 got the refund."
101,Great product and fast shipping!,...,I've ordered boxer and I got tanga
102,Excellent,Good,The goods are not delivered. The money was not returned.
103,Some are nice. But opaque,"It's No use, it does nothing",Sorry Can’t receive the item 
104,Great,good,Never received as usual with ali
105,Very good stickers,It's not what I expected.,"I did not receive the goods but the money returned, through dispute"
106,"Stickers are super, recommended <33",This,Sent is not something that is ordered !!!!!!!!!!!!
107,nice,You can hardly see anything,I didn't get the product
108,Wonderful and good and high quality I advise you,It's not what I expected. It looks like a referee whistle.,I did not receive the goods.
109,mb,Product as the picture but has no practical effect changes nothing noise car nor bike!!,Still not get my order
110,Everything came in good condition! Thanks :)),K L,-
111,Such as description and very fast,Bad Quality,I never received my order
112,Artist,Bad works does garnix,This is not the right model I received...
113,Great stickers,"Micro Milling cutter. Very small working part of the milling cutter. The parcel came in 1,5 months. Everything came intact. Forming a normal, but very small working part.",Never received as usual with ali
114,❤️,"Ordered 11.01 came 13.02. The milling cutter is dirty, as if it worked for her (((",never received as hab with ali
115,super,"It looks neutral, as seen in the images, not used yet, if it comes out good I will buy it again.",-
116,Very cool,"The photo is more pointed in the photo, in fact it came more round. Not that I wanted.","poor packaging. the worst packaging for screen protector I have ever seen. they just put the protectors in a plastic envelope,and then squeeze into a paper envelope with bubble protection. no hard paper board packaging. so the protectors are all bended."
117,Love the stickers!,"Everything is OK, delivery of two months (in the work did not visit, delivered to the house",The seller was completely wrong on my order. But I got a refund.
118,They are all very beautiful!!,"Before the Mosk went 2 months. The leg is short at the milling cutter, not to the end in strict standing, even removing the ring, does not reach the end. Will unravel the holder in the device",Film is by no means soft. AND hard it nicely put.
119,nice. good quality,"Milling cutter 48 short and without blue marking (which is very uncomfortable)
And so delivery is fast, I recommend the seller",All 3 films came crumpled. Visible traces of film bends
120,Thanks to the seller. SB,"Ordered two identical cutters. On the sample to compare the quality of another supplier. One mill corresponds to the description, the second is not. Perhaps the second will go to the emission, because at all I can not imagine how it work, I think that it will not work off. On the packages the same barcode, and the cutters are different. I will not order here anymore. The photo shows the difference with not even an armed eye.",all the protectors have 3 dents as shown in picture. when paste on tablet it is even more obvious
121,Great stickers,"smaller than expected, does not do much, but quality of a product is not bad","All damaged films, horrible"
122,Print status is forward to some then.,I see it a little thin and the grain seems fine to be blue. I haven't tried it yet.,Almost impossible to attach without getting a lot of air bubbles.
123,Very beautiful,Less than I thought. Tough. I did not try it yet. I think she's useless.,"Poor packing
crumpled
Disappointed because it cannot be used"
124,GOOD,Ordered 23.10.2020 came 26.01.2021 seller terrible for a long time did not send a milling cutter like normal in the case did not run,you can not write on the Tablet with the Pen with the Screenprotector
125,Train,"Ordered in early October, came on January 19... It's been terrible for a long time. It's our mail, of course. Blue milling is a little different than I ordered. The first time when I ordered it quickly and what you need. This time failed of course ((and so the cutters are good.",He came crushed. Very badly stuck standing on bubbles
126,cool,"Short rod, I do not know if it will be fixed on the typewriter",Very bad quality delivery and packing.
127,Cute,"The milling cutter ordered 08.11, and delivered to Krasnodar 22.01. The seller does not recommend!! Very long delivery. The seller did not answer the questions.",Sent for the wrong model
128,Very good,"For a very long time it went, in work while unused Navid seems like everything like in the description.",The support is not strong enough to hold the iPad straight! 
129,This SUPER HERMOSAAA,"Came for 20 days. Less than thought, but not critical. Saws in seconds",bad grp in phones
130,"Stickers are good, but the colors are not bright","I put a three for the quality of the milling cutter, 2 cone more less, and two others, generally nechome. Delivery is paid and fast.","Product very fragile, and not safe alone"
131,yeaaah,"The order came quickly, the size is small. In the work, I have not yet tried",Small fits your phone
132,"Works as original, workmanship is OK. For celow training Sie suitable","Waited for sure for a long time, but everything came, everyone is happy!",Made of better caliter in the photo when fresh a little disknown
133,"
Good product, properly packaged, delivery in an acceptable period, highly recommended seller",This is the vidlomalaya Chervona thing.,"The product does not match the ad. Not fit or a tablet 7 inch, will tell a 10 inch. False!"
134,professional grade materials and manufacture. excellent,It’s good but it was skinnier then what I though.,Here is a holder for a 7-inch tablet! The product does not correspond to the description at all! I will open a dispute!
135,Good quality and handy. Shipment was fast too ✌,Very unreliable and incompetent seller,"He's not. Even on a small cat, the tablet flies off the Mount and falls."
136,"The order came, tracked. The quality is good, with the exception of plastic, but I think a couple of tighteks will endure.","Quickly came, not yet tried.",The goods never came. The seller is not answering. The program writes that I allegedly received it. Deception
137,"Corresponds to the descriptions. Delivery 2 weeks on the DV. Quality is good, let's see in work. Recommend.",Maybe a little small but okay.,"It never arrived, and the seller did not want to return the money himself"
138,Sent in 11 days. There is a brochure how to use,"The goods do not match, I attach a photo...",It's as described but I 've been broken
139,Received in 6 days! Looks good quality :),I ordered the green came Histrow,Lousy product was damaged by placing them.
140,Recommended,Goods didn't come,The kit is not complete.
141,These seem to be well made and I am very happy with this purchase and would buy more if needed from this seller.,"Who wrote modern trolling for living tree branch to bury and little messy, come in four key","Do not even contact these scams, no goods, no money"
142,"The quality did not seem to be bad, the color as always in the photo is red scarlet orange and in fact pink fuchsia but bright.","In fact, did not try",It smells very plastic. Quality is shit. Long delivery.
143,Soft. Rather for training purposes hour for real.,Gray on the canvas,"Chne holds, iPad 3 money is not worth his. Do not take a waste of money."
144,"Looks high quality. But due to the fact that the instructions are not in Russian, not even on the Internet, until they understand how to use it. Although everyone writes that it is elementary.",The nose is a bit trapezoid,"The product does not arrive, I do not recommend buying with this supplier"
145,"Good TRAINING cop, do not use for real usage",The shape is a little wrong,"Never arrive the product, no reply from the seller and less from CHILE Post Office
Lousy shop"
146,Good product corresponds to the description,Norms,"I havent receive the item and it isnt possible to open dispute, I want money back"
147,More red than orange,I have not yet received the order. Erroneously pressed on receipt. Wrote a message to the seller. Waiting for your reply.,bad quality. grip cannot clip properly and hold in place
148,Entire order was delivered to someone else. No refund was given to me and I received the other person I tire order. Customer service ducks and only a bot to try and relate that the orders were switched. I will never oder again fro aliexpress.,"Good evening. I can not appreciate the goods, since I do not have it in stock.","Waited for 3 months, it didn't come, but aliexpress refunded the money. Big ups to aliexpress. Say No to this seller"
149,"Excellent quality
Fast shipping","Frez looked under the microscope. Some teeth are broken. One of three cutters is not new, or it's a factory marriage","I do not recommend, one piece came the wrong part and therefore everything was broken. The seller pushes for another purchase to send a spare part. When I didn't want anything new, he stopped communicating. I had to start a dispute."
150,Within one week supplied,"The goods were not tracked, as a result, the order did not receive, opened the dispute, returned the money.",Article received but it was missing a piece so unusable
151,Good quality.,"Freza went 2 months somewhere, so for a long time I still did not wait))) did not try on quality in appearance is not bad.","It is a single size that covers as 7 to 10 inches.

of 7 if possible, but nooooo 10"
152,Everything as appropriate,"The order was created on January 21, received on April 21! Terribly long delivery! To Yaroslavl. I will not order from this seller anymore.",I arrive incomplete. Waiting for replenishment
153,All ok,"Did not reach me the parcel, I can not say anything about the quality","The product never arrived, the seller does not respond or return the money, do not buy at least for Chile"
154,Nice.,"It came quickly, the quality of course is not fire but for such a price you can",A part was missing if it does not fulfil its function
155,It's a tourniquet that mimics Cat gen 7. Can be used to train for the price you have is a good choice but under no circumstances recommend it to use as a personal tourni The material is very soft and gives the feeling that plastic can split if much pressure is made. In my case it's to use it as a prop for the airsoft.,"The quality of its blessing, new o looks as you have an apartment","Goods were not been received! How the customer can confirm receipt, I do not understand! Following the results of any money or goods!"
156,"Arrived and as described.  This takes more turns to tighten than my genuine CAT tourniquets.  I bought it to see if it is suitable for my first aid training company.  Definately suitable for my training environment.  I will be ordering more.  The blue colour makes this easily distinguisable as my training tourniquets from my working pack tourniquets.

The price point will mean I will be able to stock up on these for my training classes.

I would however like to see these in a shorter length.

overall, good purchase.

","Cutters never came, first did not want to return money, but then returned, ordered 2 to different, very sorry .....",It's too big for 7 inch tablet. So a can't use it. Anyway it's strong and robust for holding a tablet.
157,"I tried it with my upper arm.  Hemostasis seems possible.  However, it is an item to use if you are seriously injured.  For emergencies.","I did not get my order. :(
The seller returned the money.",The parcel did not come. And the dispute was closed without proceedings.
158,"All OK. Recommend supplier. Staza-headband uciskowa meets my expectations qualitatively. Not deviate from the original. Medical checks in practice, locks heart rate after 2-3 rpm retractor. Materials of which is made are strong and good quality.","For a pedicure is ideal, the coating is portable, there is no strengthening, only the base is thin. For manicure does not fit, heats the nail.","came broken, I broke off a piece of the holder"
159,"Item as described, well packed, delivered in reasonable time.","The goods came in 3,5 months, in appearance all the rules, in work has not yet tried",The tablet did not fit. Only for phone
160,"Super arrival very quickly yet it was a combined delivery, the product meets my expectations I'm not disappointed","The milling cutter is very poorly filming the material, ordered the others earlier- perfectly removed and this ...","Buy 10, sent only 8"
161,"Complies with the description. Fast shipping, recommend the seller","The removed material flies out in all directions, the tip is not working (((...",didn't received item.
162,"Delivery in 29 days. Minimalist but sufficient packaging.
The tourniquet tourniquet corresponds well to the description (color as in photos).
I tried it on my thigh, it works well!
He will garnish my backup kit.
Great deal !","I will not order any more, I really did not like the cutters! The longest delivery 2,5 month.",not serious
163,Goods consistent with the description. Delivery for PL 11 days. Faster not got shipping from China. Thank you,The goods did not come. Dispute won. Seller did not agree,nepreshol product to the address.
164,Very high quality product! I recommend everyone in the first-aid kit!,"Very small, like plastics material. We should try the work.",I do not get
165,"Normal turnstiles, strongly did not drag because I was afraid to break but the appearance and quality at the level for such money, I bought as an anturage, I bought it.","Delivery is very long, I had to open a dispute, but then the goods came and the dispute was canceled",I never get the product
166,"20 days from purchase. In fact, I took it as a visual manual, as the original at the price bites. Tracked throughout the journey, which is not often.","Unfortunately, the parcel never came. The seller made a refund.",Goods not reached me
167,"Delivery for 2 weeks in Moscow, the track fell off. Fittings-hard enough plastic, the description corresponds.",Until I 've been because the Fraser has not yet come so everything is cool,good condition
168,All right and very fast in 12 days I had it!,"Unfortunately, the product did not come asked to extend the delivery replied that we do not extend.",A complete garbage is a simple whistle and nothing more on the bike can be put and not on the car do not advise such a thing
169,Excellent quality! Fast shipping!,"Freza went for three months. Already lost hope, opened the dispute, the seller did not accept, AliExpress decided in my favor. Freza came three weeks after the money was returned. I had to buy again to give the seller money for the milling cutter. I wrote to him, offered to pay for the goods more expensive, but I bought this milling cutter again. Do not overpay for the same product only because he went too long and the seller lost the dispute!",You don't hear anything and as not having it fitted. The don't recommend
170,Corresponding to the described,"All the time I take on Alika milling cutters, but there were no such problems. For some reason, this milling cutter scroll in the device.",It's identical to the one in the photo but it doesn't produce the sound it says
171,Very excellent and also useful in the process of connecting the head,"The milling cutter came, but it removes well only with a puddle, the tip as if smooth and remove it near the cuticle is impossible",I was expecting something better instead produces only a whistle fastidioso.n
172,"As describet, great strap and lenght","Thank you for allowing a quick dispute. AND
 money back",Absolutely no effect. Just Whistle
173,ok,"The cutter walked for a long time, and came, but unfortunately spoiled","Kakajata Hren, Kak svistok I nikakoij radasti"
174,Everything is cool)) quickly came and what I ordered.,"Unfortunately with ceramics from the store you can feel the return, the store goes like oil do not feel it, in appearance, normal, with the seller did not communicate, the delivery is very pleased","It doesn't sound like they promise, very disappointed."
175,"Fast shipping, quality-price very well","On the needle nozzle on the phrase, there is no blue rim, as in the photo. But the work does not affect.",Impossible to adjust it to my exhaust pipes
176,Fast delivery and exactly as described,"I did not receive the goods, I discovered the dispute and I returned money",weak
177,It looks really good. I bought 2 more.,"In the photo of corn, in fact, more stretched and heavier. Enough for a month, but also the feeling that they already worked before me. Very soft, quickly ""bald"". Better get the blue ones. In general, not bad, but I would like a longer service life.","I received in good condition, but does not working,  no whistle  Thank you"
178,I arrive in perfect condition Excellent product,"Article compliant but not on the materials at all, I did a test not exactly the efficiency I wanted but good given the price I have what I regulated!",Flute vibrates loose and therefore lost
179,Top quality! Meets expectations.,"The goods are not delivered. Sent quickly, but apparently lost on the way. The money was returned in a few days after the treatment.",Does not work
180,"Very good quality, fast delivery recommended!!!","Bad cutters, do not take, very long it takes, with a black insect just right",I didn't get my order.
181,All right and it's as I expected.,"The goods did not come, the seller asked to remove the dispute. The goods are already on the road. So still nothing has come. I will not order more from this seller",The BMW E 90 does not work without changes. And the rear view does not stick out some shit from the pipe like a collective farmer. Threw it in trash
182,Good product and very fast!!! Good.,"The goods did not come, thank you at least returned the money. Not happy with your purchase","It's not worth anything, it's a hoax doesn't sound any better not to buy it"
183,"All Lux even quickly came, recommend","Waited for an order of about three months, the parcel never came, the money was returned.",For the price we can't ask much and I dared to try it but my valuation is 0
184,"Very Good.
A+++++","Frez received, still in work did not try, while I like",Your apparatus must be close to the diameter of the small eczoz deligent air blow directly to the apparatus let the sound come out if I blow with the AGMA sound comes out directly exposed to the air I think you magnified a little diameter
185,Excellent Product,"3 months of waiting, but the order did not receive... The money was returned.",Looks good must I only mount whether it works
